"sub_ID","sub_name","sub_phone","sub_inn","sub_account"
1,"ООО ""Альфа""","8-495-123-45-67","7712345678","40702810123450000001"
2,"ЗАО ""Бета-Торг""","8-812-987-65-43","7898765432","40702810123450000002"
3,"ПАО ""Гамма Строй""","8-843-111-22-33","1655123456","40702810123450000003"
4,ИП Иванов А.А.,"8-383-555-44-33","5401123456","40702810123450000004"
5,"ООО ""Дельта-IT""","8-343-777-88-99","6671123456","40702810123450000005"
6,"АО ""Омега""","8-831-222-33-44","5260123456","40702810123450000006"
7,"ООО ""Сигма""","8-351-444-55-66","7453123456","40702810123450000007"
8,ИП Петров В.С.,"8-846-666-77-88","6316123456","40702810123450000008"
9,"ЗАО ""Вектор""","8-381-888-99-00","5503123456","40702810123450000009"
10,"ПАО ""Монолит""","8-863-101-01-01","6164123456","40702810123450000010"
11,"ООО ""Спектр""","8-347-202-02-02","0274123456","40702810123450000011"
12,ИП Сидоров А.В.,"8-391-303-03-03","2460123456","40702810123450000012"
13,"АО ""Интеграл""","8-473-404-04-04","3664123456","40702810123450000013"
14,"ООО ""Горизонт""","8-342-505-05-05","5902123456","40702810123450000014"
15,"ЗАО ""Авангард""","8-844-606-06-06","3444123456","40702810123450000015"
